date,cpi,wpi,month,year,quarter,lag_1,lag_2,lag_3,lag_6,lag_12,rolling_mean_3,rolling_std_3,rolling_mean_6,rolling_std_6,cpi_pct_change,cpi_diff,wpi_pct_change,wpi_lag1,trend_index,cpi_wpi_diff
2022-05-01,171.7,155.0,5,2022,2,170.1,167.7,166.1,166.7,160.4,169.83333333333334,2.013289182738211,167.91666666666666,2.4612327534533796,0.9406231628453776,1.5999999999999943,1.7728168089297336,152.3,121,16.69999999999999
2022-06-01,172.6,155.4,6,2022,2,171.7,170.1,167.7,166.2,161.3,171.46666666666667,1.266227994213661,168.98333333333332,2.9137032564541947,0.5241700640652436,0.9000000000000057,0.2580645161290418,155.0,122,17.19999999999999
2022-07-01,173.4,154.0,7,2022,3,172.6,171.7,170.1,165.7,162.5,172.56666666666663,0.850490054809669,170.26666666666668,2.873789600279027,0.4634994206257348,0.8000000000000114,-0.9009009009009028,155.4,123,19.400000000000006
2022-08-01,174.3,153.2,8,2022,3,173.4,172.6,171.7,166.1,162.9,173.43333333333337,0.8504900548095821,171.63333333333333,2.408042081582476,0.519031141868509,0.9000000000000057,-0.5194805194805308,154.0,124,21.100000000000023
2022-09-01,175.3,151.9,9,2022,3,174.3,173.4,172.6,167.7,163.2,174.33333333333334,0.9504384952903876,172.9,1.8622566955190596,0.5737234652897216,1.0,-0.8485639686683921,153.2,125,23.400000000000006
2022-10-01,176.7,152.9,10,2022,4,175.3,174.3,173.4,170.1,165.5,175.43333333333337,1.2055427546668074,174.0,1.8264720090944924,0.7986309184255358,1.3999999999999773,0.6583278472679366,151.9,126,23.799999999999983
2022-11-01,176.5,152.5,11,2022,4,176.7,175.3,174.3,171.7,166.7,176.16666666666666,0.7571877794375214,174.79999999999998,1.6613247725853557,-0.11318619128465324,-0.19999999999998863,-0.2616088947024253,152.9,127,24.0
2022-12-01,175.7,150.5,12,2022,4,176.5,176.7,175.3,172.6,166.2,176.29999999999998,0.5291502622093166,175.3166666666667,1.27814970432752,-0.45325779036827774,-0.8000000000000114,-1.3114754098360604,152.5,128,25.19999999999999
2023-01-01,176.5,150.7,1,2023,1,175.7,176.5,176.7,173.4,165.7,176.23333333333332,0.46188021534758994,175.83333333333334,0.9266426855442189,0.4553215708594349,0.8000000000000114,0.1328903654485014,150.5,129,25.80000000000001
2023-02-01,176.8,150.9,2,2023,1,176.5,175.7,176.5,174.3,166.1,176.33333333333334,0.5686240703043798,176.25,0.6058052492393907,0.16997167138810276,0.30000000000001137,0.13271400132714994,150.7,130,25.900000000000006
2023-03-01,177.2,151.0,3,2023,1,176.8,176.5,175.7,175.3,167.7,176.83333333333334,0.35118845842284,176.5666666666667,0.4966554808644615,0.2262443438913797,0.39999999999997726,0.0662690523525411,150.9,131,26.19999999999999
