Model,MAE,RMSE,MAPE
Linear Regression,4.1257320140909044e-14,4.6505936511979476e-14,2.152984798016964e-14
XGBoost,12.34132582141507,13.236009192057663,6.395261137624743
Random Forest,14.12316129032248,15.066066485809632,7.321369291289087
